station_id,station_number,station_name,candidate_role,candidate_rows,requested_units,assigned_units,uncovered_units,mean_risk_score,sensitive_hour_rows,sensitive_station_rows
95,90,General Pardiñas,donor,35,240,240,0,0.742609146,0,0
95,90,General Pardiñas,receiver,194,1353,901,452,0.8314336780412371,13,0
96,91,Príncipe de Vergara,receiver,353,1738,1290,448,0.8745454311898017,35,0
97,92,Claudio Coello,donor,17,98,98,0,0.6760695670588236,0,0
97,92,Claudio Coello,receiver,120,763,419,344,0.834807133,16,0
98,93,Plaza de Colón,receiver,292,1910,1338,572,0.858298472739726,26,0
99,94,Biblioteca Nacional,donor,14,72,72,0,0.6997185635714286,1,14
99,94,Biblioteca Nacional,receiver,345,1962,1388,574,0.8398455448695652,28,345
100,95,Villanueva,donor,32,215,215,0,0.7997696165625,1,0
100,95,Villanueva,receiver,168,1086,829,257,0.8568181602380953,11,0
101,96,Castelló,receiver,84,610,401,209,0.8036578098809523,6,0
102,97,Alcalá,receiver,93,608,356,252,0.8178927984946236,12,0
103,98,Plaza de Felipe II,donor,15,91,91,0,0.65008344,4,0
103,98,Plaza de Felipe II,receiver,111,725,437,288,0.8110549927027028,9,0
104,99,Alcántara,donor,2,16,16,0,0.8421444,0,0
104,99,Alcántara,receiver,124,778,498,280,0.8244730701612903,15,0
105,100,Palacio de Deportes,donor,11,71,71,0,0.8056831145454545,3,0
105,100,Palacio de Deportes,receiver,27,172,128,44,0.8250099862962963,1,0
106,101,Jorge Juan,donor,3,18,18,0,0.6518011733333333,0,0
106,101,Jorge Juan,receiver,221,227,91,136,0.9568754088687782,28,0
107,102,Velázquez,donor,3,18,18,0,0.7499745933333334,1,0
107,102,Velázquez,receiver,133,862,721,141,0.8563472073684211,4,0
108,103,Ortega y Gasset,donor,65,394,394,0,0.7010223313846154,3,0
108,103,Ortega y Gasset,receiver,267,1606,747,859,0.8571750896629213,22,0
109,104,Castellana,donor,37,189,189,0,0.7137912562162162,0,0
109,104,Castellana,receiver,245,1344,807,537,0.846035891755102,27,0
110,105,Serrano,donor,27,164,164,0,0.7608432774074074,1,0
110,105,Serrano,receiver,264,1651,1043,608,0.8602820862121212,23,0
111,106a,Colón A,donor,4,23,23,0,0.78740322,1,0
111,106a,Colón A,receiver,128,599,402,197,0.883315098125,13,0
112,106b,Colón B,donor,13,69,69,0,0.7873972261538462,1,0
112,106b,Colón B,receiver,194,925,564,361,0.8590742756701031,16,0
113,107,Columela,donor,29,177,177,0,0.7508845306896552,0,0
113,107,Columela,receiver,265,1627,1211,416,0.8572373894339622,31,0
114,108,Mártires Concepcionistas,receiver,123,888,488,400,0.751641061300813,14,0
115,109,Marqués de Salamanca,donor,16,98,98,0,0.707964453125,1,0
115,109,Marqués de Salamanca,receiver,135,867,403,464,0.8455663045185184,10,0
116,110,Moncloa,donor,10,64,64,0,0.835954012,2,0
116,110,Moncloa,receiver,103,671,279,392,0.7993086786407766,14,0
117,111a,Arcipreste de Hita A,receiver,121,788,467,321,0.7953188217355371,14,0
118,111b,Arcipreste de Hita B,donor,5,27,27,0,0.63483143,0,0
118,111b,Arcipreste de Hita B,receiver,52,323,84,239,0.7481139082692307,5,0
119,112,Paseo de Moret,receiver,43,270,142,128,0.8124388402325582,4,0
120,113,Pintor Rosales,receiver,39,243,86,157,0.6824326623076923,5,0
121,114,Quintana,donor,22,138,138,0,0.7922148127272728,2,0
121,114,Quintana,receiver,20,126,16,110,0.6931059995,3,0
122,115,Ferraz,donor,3,17,17,0,0.5734485833333333,0,0
122,115,Ferraz,receiver,59,346,196,150,0.7468539461016949,10,0
123,116a,Plaza de España A,donor,14,84,84,0,0.6603103557142856,5,0
123,116a,Plaza de España A,receiver,70,452,230,222,0.7742224687142857,6,0
124,116b,Plaza de España B,donor,4,22,22,0,0.6122459499999999,1,0
124,116b,Plaza de España B,receiver,142,922,455,467,0.7964157665492958,14,0
125,117,Altamirano,donor,42,283,283,0,0.8780280376190477,4,0
125,117,Altamirano,receiver,51,331,218,113,0.7153225809803923,4,0
126,118,Juan Martín,donor,19,125,125,0,0.7726929394736842,1,0
126,118,Juan Martín,receiver,139,194,175,19,0.9633213551798562,18,0
127,119,Méndez Álvaro,donor,28,185,185,0,0.7976851478571428,1,0
127,119,Méndez Álvaro,receiver,8,48,6,42,0.57000706875,1,0
128,120,Palos de la Frontera,donor,17,100,100,0,0.6877665223529412,0,0
128,120,Palos de la Frontera,receiver,15,68,37,31,0.6395806406666666,2,0
129,121,Santa María de la Cabeza,donor,35,210,210,0,0.732327162,7,0
129,121,Santa María de la Cabeza,receiver,15,100,55,45,0.6889564813333333,1,0
130,122,Santa Engracia 14,donor,4,25,25,0,0.703212325,0,0
130,122,Santa Engracia 14,receiver,243,1585,786,799,0.8071993134567902,28,0
131,123,Guzmán el Bueno,donor,4,24,24,0,0.7854014875,1,0
131,123,Guzmán el Bueno,receiver,69,459,268,191,0.7235578117391305,4,0
132,161,Paseo de la Florida,donor,43,331,331,0,0.77050237,8,0
132,161,Paseo de la Florida,receiver,7,51,18,33,0.6743652442857143,1,0
133,162,Metro Pirámides,donor,85,541,541,0,0.8148617483529412,6,0
133,162,Metro Pirámides,receiver,23,140,60,80,0.6764989530434783,1,0
134,163,Paseo de la Esperanza,donor,55,268,268,0,0.7362233007272727,6,0
134,163,Paseo de la Esperanza,receiver,35,184,143,41,0.771224764,1,0
135,165,Entrada Matadero,donor,70,519,519,0,0.7879316792857143,4,0
135,165,Entrada Matadero,receiver,11,82,32,50,0.7179705418181818,1,0
136,164,Paseo de las Delicias,donor,48,297,297,0,0.777992785625,3,0
136,164,Paseo de las Delicias,receiver,26,162,63,99,0.6375236065384615,3,0
137,157,Castellana 164,donor,1,6,6,0,0.660417,0,0
137,157,Castellana 164,receiver,45,249,28,221,0.7715292451111111,4,0
138,158,Alberto Alcocer,receiver,85,527,31,496,0.8077906367058824,9,0
139,155,San Germán 57,donor,5,32,32,0,0.854851486,0,0
139,155,San Germán 57,receiver,63,390,120,270,0.6665869130158729,8,0
140,156,Sor Ángela de la Cruz,receiver,79,504,75,429,0.8041230435443038,21,0
141,154,Orense 36,donor,3,22,22,0,0.8440154633333332,0,0
141,154,Orense 36,receiver,93,601,66,535,0.7815998780645161,17,0
142,152,General Perón 1,receiver,1436,0,0,0,0.9985829448607243,180,0
143,153,General Perón con Poeta Joan Maragall,receiver,1436,0,0,0,0.9986321196239554,180,0
144,148,Serrano 210,receiver,84,388,44,344,0.8536951172619047,10,0
145,151,Orense 12,donor,21,134,134,0,0.7291375990476191,1,21
145,151,Orense 12,receiver,189,1212,111,1101,0.7596596795238095,29,189
146,149,Paseo de la Habana 42,donor,25,146,146,0,0.7076666344,1,0
146,149,Paseo de la Habana 42,receiver,114,546,45,501,0.8462961243859649,6,0
147,150,Castellana frente a Hermanos Pinzón,donor,4,22,22,0,0.6674893875,0,0
147,150,Castellana frente a Hermanos Pinzón,receiver,269,253,59,194,0.9754638300371746,33,0
148,147,Doctor Arce 45,receiver,91,599,168,431,0.7808284581318681,10,0
149,132,Glorieta de los Cuatro Caminos,donor,12,82,82,0,0.7935447875,2,0
149,132,Glorieta de los Cuatro Caminos,receiver,118,766,270,496,0.6977444198305084,18,0
150,133,Raimundo Fernández,receiver,211,1401,774,627,0.7779259804265404,28,0
151,136,Castellana 106,donor,40,253,253,0,0.81235193525,4,0
151,136,Castellana 106,receiver,90,617,307,310,0.8570827425555556,11,0
152,137,Plaza de la República Argentina,donor,5,35,35,0,0.87355135,0,0
152,137,Plaza de la República Argentina,receiver,118,626,194,432,0.8690288011864407,17,0
153,134,Agustín de Betancourt,donor,3,20,20,0,0.7438491566666666,0,0
153,134,Agustín de Betancourt,receiver,116,741,155,586,0.7501172457758621,26,0
154,138,Paseo de la Castellana con Raimundo Fernández,donor,15,93,93,0,0.740274376,2,0
154,138,Paseo de la Castellana con Raimundo Fernández,receiver,154,986,215,771,0.7852299435064936,34,0
155,146,María Francisca 1,donor,1,5,5,0,0.56639534,0,0
155,146,María Francisca 1,receiver,57,298,64,234,0.733367603859649,7,0
156,131,Bravo Murillo 44,donor,2,10,10,0,0.6695405249999999,0,0
156,131,Bravo Murillo 44,receiver,695,697,185,512,0.9648156958705035,86,0
157,130,Santa Engracia 127,donor,8,34,34,0,0.72006679,2,8
157,130,Santa Engracia 127,receiver,165,778,199,579,0.7517400862424243,25,165
158,135,Plaza de San Juan de la Cruz,receiver,203,1299,364,935,0.8138995999507389,28,0
159,139,José Gutiérrez Abascal ,donor,6,36,36,0,0.6758114333333333,0,0
159,139,José Gutiérrez Abascal ,receiver,119,805,397,408,0.8374566401680673,14,0
160,128,Cea Bermúdez,donor,2,13,13,0,0.660789435,1,0
