fecha_hora_local,transfer_pairs,transferred_units,mean_distance_km,max_distance_km,stable_support_pairs
2022-12-06 17:00:00,6,17,1.5900827985325494,2.3326247684970953,3
2022-12-06 18:00:00,8,23,1.1664853243439792,1.9556490658282404,6
2022-12-06 19:00:00,17,36,1.5517610898606962,2.9087268726341855,13
2022-12-06 20:00:00,12,25,0.9724444619860666,1.8925432898523564,10
2022-12-06 21:00:00,14,30,1.215114922102163,2.4977418486838654,13
2022-12-06 22:00:00,19,36,1.5098612293268945,2.8723260837031495,18
2022-12-06 23:00:00,12,30,1.4509833221431816,2.856703715070457,11
2022-12-07 00:00:00,6,20,1.27343053165997,2.856703715070457,4
2022-12-07 01:00:00,23,49,1.7451785877516617,2.7193559684926716,21
2022-12-07 02:00:00,22,43,1.6347422135035443,2.8757768529054215,21
2022-12-07 03:00:00,22,47,1.7915964802679425,2.936601065670462,21
2022-12-07 04:00:00,27,50,1.9575612531981834,2.8819250247883303,26
2022-12-07 05:00:00,22,43,1.9394545255823465,2.9857742644660914,21
2022-12-07 06:00:00,20,38,1.6118311618740062,2.9146937107882875,20
2022-12-07 07:00:00,8,15,0.7999937619423798,1.5370459685109603,8
2022-12-07 08:00:00,13,22,1.519566784919828,2.8442613071211045,11
2022-12-07 09:00:00,12,22,1.9719216050860613,2.870871834369403,12
2022-12-07 10:00:00,14,29,1.3997748529780287,2.5000971341093123,11
2022-12-07 11:00:00,19,41,1.6361485135965892,2.937223062768421,19
2022-12-07 12:00:00,25,46,1.7231073173784777,2.937223062768421,22
2022-12-07 13:00:00,20,44,1.438567931343081,2.7604469740547395,20
2022-12-07 14:00:00,9,18,1.4943920391855112,2.4886213593194486,8
2022-12-07 15:00:00,15,31,1.5364660708148672,2.946560511388148,13
2022-12-07 16:00:00,12,24,1.5536790803197773,2.8752423851966027,11
2022-12-07 17:00:00,7,14,1.1286648940137716,1.7507792986674624,7
2022-12-07 18:00:00,4,7,1.5850980115254671,2.133530041696875,4
2022-12-07 19:00:00,14,35,1.873510488481727,2.949600215807047,12
2022-12-07 20:00:00,15,46,1.6857872461924985,2.9298907861950614,10
2022-12-07 21:00:00,26,65,1.8084064009415937,2.9298907861950614,19
2022-12-07 22:00:00,30,73,2.0079858990146713,2.9285305616729094,19
2022-12-07 23:00:00,32,74,1.8685669220422287,2.988304475101719,26
2022-12-08 00:00:00,25,48,1.9010378723106418,2.817829032108938,23
2022-12-08 01:00:00,19,42,1.9879402670371134,2.923859220620637,17
2022-12-08 02:00:00,25,52,2.2397823016624603,2.980398162527081,23
2022-12-08 03:00:00,24,54,1.9871904862479817,2.8343601934740437,23
2022-12-08 04:00:00,27,47,2.081187559675979,2.852681737121843,26
2022-12-08 05:00:00,21,41,1.9118703192599606,2.9588233888120072,20
2022-12-08 06:00:00,25,48,2.0788438930489463,2.997638618345306,24
2022-12-08 07:00:00,24,51,2.1494784952551274,2.948592838375149,24
2022-12-08 08:00:00,23,57,2.125523904767138,2.945487632956901,22
2022-12-08 09:00:00,22,47,2.2299446942203143,2.997638618345306,21
2022-12-08 10:00:00,20,47,2.1453513756433154,2.857468767727598,18
2022-12-08 11:00:00,20,38,1.8915086681606705,2.9049235261293704,20
2022-12-08 12:00:00,20,38,2.2971339491622755,2.964525358493826,19
2022-12-08 13:00:00,24,48,2.265895264449521,2.999742697357236,21
2022-12-08 14:00:00,19,41,1.77222124893181,2.964525358493826,18
2022-12-08 15:00:00,20,42,1.7801383584440433,2.5977744977179977,20
2022-12-08 16:00:00,18,39,1.7931808590388494,2.8177562336710507,16
2022-12-08 17:00:00,17,32,1.5123801445580909,2.947615667337622,15
2022-12-08 18:00:00,6,11,0.8724010499610978,1.4827536350587533,6
2022-12-08 19:00:00,14,28,1.7751025776736864,2.705757862928434,13
2022-12-08 20:00:00,4,13,1.7802828215536746,2.8293522904099415,1
2022-12-08 21:00:00,5,15,0.827894724844515,0.9959641974414337,4
2022-12-08 22:00:00,10,25,1.4103142541234388,2.7007619560853673,6
2022-12-08 23:00:00,12,31,1.7016658094064214,2.9930903274831326,9
2022-12-09 00:00:00,11,31,1.4750516169167207,2.476761378149915,10
2022-12-09 01:00:00,17,29,1.7785359360041875,2.898396967163064,17
2022-12-09 02:00:00,11,24,1.895778630723705,2.562055620430702,11
2022-12-09 03:00:00,14,32,2.023993860032347,2.7595796789971483,13
2022-12-09 04:00:00,15,25,2.0392155017573654,2.7820207183649783,15
2022-12-09 05:00:00,10,19,1.7660730435297929,2.887636075981634,9
2022-12-09 06:00:00,17,32,1.751199377545875,2.887636075981634,16
2022-12-09 07:00:00,9,20,1.969215650915993,2.904111270234424,8
2022-12-09 08:00:00,12,23,1.9465682396927269,2.96720903231701,12
2022-12-09 09:00:00,15,32,1.6155431963925004,2.85442787689477,15
2022-12-09 10:00:00,12,29,1.8521363774372637,2.9010086374590562,11
2022-12-09 11:00:00,12,24,1.7651000882106993,2.984572283269234,12
2022-12-09 12:00:00,10,26,1.573574923739565,2.984572283269234,10
2022-12-09 13:00:00,14,30,1.5990210960107305,2.1934692281538686,14
2022-12-09 14:00:00,13,29,1.913126000279143,2.653260215299257,10
2022-12-09 15:00:00,14,26,1.5529868544301757,2.653260215299257,13
2022-12-09 16:00:00,14,24,1.4097636446986512,2.653260215299257,14
2022-12-09 17:00:00,10,16,1.4744308826731638,2.3695537174279093,10
2022-12-09 18:00:00,2,6,1.4321005656987416,2.3663043867204454,1
2022-12-09 19:00:00,10,19,1.5496654378805652,2.960832790074952,10
2022-12-09 20:00:00,13,29,1.330092683835328,2.7609510260074424,11
2022-12-09 21:00:00,19,42,1.1063771556359705,2.212102473678158,17
2022-12-09 22:00:00,8,25,1.9589666000184551,2.6148322097543457,3
2022-12-09 23:00:00,21,52,1.6180786711600936,2.77222261648001,15
2022-12-10 00:00:00,19,49,1.7538419020260665,2.9299427619482388,18
2022-12-10 01:00:00,25,50,1.4980411044495385,2.84284277542701,23
2022-12-10 02:00:00,17,39,1.6830061809928842,2.4693015134008824,16
2022-12-10 03:00:00,21,45,1.9020854771195312,2.9917112337920164,20
2022-12-10 04:00:00,20,47,1.7294121612070108,2.984271120292503,17
2022-12-10 05:00:00,23,62,1.9202861467830812,2.984271120292503,16
2022-12-10 06:00:00,35,82,2.108520426388315,2.9525380733422293,32
2022-12-10 07:00:00,30,74,2.0411014991385787,2.8718331868889546,25
2022-12-10 08:00:00,25,67,2.1749895958761734,2.9917112337920164,21
2022-12-10 09:00:00,24,54,2.1072881936782717,2.9917112337920164,23
2022-12-10 10:00:00,15,40,1.8880258758594395,2.6195530327219676,14
2022-12-10 11:00:00,12,30,2.1582318339937707,2.9514166115637535,11
2022-12-10 12:00:00,18,47,1.6947368203732063,2.9686031319987527,11
2022-12-10 13:00:00,23,54,1.4714853052718269,2.972199453054229,19
2022-12-10 14:00:00,27,66,1.6479533712957557,2.796201104852347,25
2022-12-10 15:00:00,22,55,1.5258546097886478,2.947884315596129,17
2022-12-10 16:00:00,19,46,1.5863260703382072,2.4778761203630535,18
2022-12-10 17:00:00,11,33,1.4083946899696076,2.3358521772680745,9
2022-12-10 18:00:00,25,66,1.6020701283911905,2.9930903274831326,21
2022-12-10 19:00:00,26,63,1.4163649345038438,2.9541506069908534,22
2022-12-10 20:00:00,31,82,1.9308641209116355,2.959643241295579,17
2022-12-10 21:00:00,25,63,1.8929419904576654,2.716567942018026,23
2022-12-10 22:00:00,33,69,1.8052476580879926,2.9611027332660997,31
2022-12-10 23:00:00,31,79,1.8868027559439153,2.95970493023988,24
2022-12-11 00:00:00,29,65,2.050337688490668,2.996342551942213,25
2022-12-11 01:00:00,25,58,1.7642413115100992,2.9285305616729094,23
2022-12-11 02:00:00,21,61,2.2174234692591606,2.9357572134665717,15
2022-12-11 03:00:00,22,66,2.223459838219547,2.9917112337920164,14
2022-12-11 04:00:00,29,84,2.210678278055718,2.996342551942213,20
2022-12-11 05:00:00,28,82,2.010386790468166,2.996342551942213,22
2022-12-11 06:00:00,28,79,2.0367924644068145,2.9607985740902727,24
2022-12-11 07:00:00,30,77,2.001842561702276,2.9285305616729094,26
