fecha_hora_local,candidate_role,candidate_rows,requested_units,assigned_units,uncovered_units,mean_risk_score,sensitive_hour_rows,sensitive_station_rows
2022-11-04 05:00:00,receiver,48,267,158,109,0.94479941,0,7
2022-11-04 06:00:00,donor,7,51,51,0,0.782752152857143,0,0
2022-11-04 06:00:00,receiver,47,255,152,103,0.8559514495744681,0,6
2022-11-04 07:00:00,donor,3,18,18,0,0.6719492766666667,0,0
2022-11-04 07:00:00,receiver,30,149,94,55,0.8134467186666666,0,5
2022-11-04 08:00:00,receiver,26,119,50,69,0.7753986438461538,26,1
2022-11-04 09:00:00,donor,4,16,16,0,0.6044347,0,1
2022-11-04 09:00:00,receiver,36,177,63,114,0.7561537391666666,0,5
2022-11-04 10:00:00,donor,7,42,42,0,0.70970058,0,0
2022-11-04 10:00:00,receiver,30,146,88,58,0.8096242313333334,0,4
2022-11-04 11:00:00,donor,7,46,46,0,0.7422078971428572,0,0
2022-11-04 11:00:00,receiver,29,139,96,43,0.7958603389655172,0,4
2022-11-04 12:00:00,donor,5,30,30,0,0.653825648,0,0
2022-11-04 12:00:00,receiver,36,181,103,78,0.7534717794444444,0,4
2022-11-04 13:00:00,donor,1,6,6,0,0.56439817,0,0
2022-11-04 13:00:00,receiver,24,109,85,24,0.8011750383333333,0,2
2022-11-04 14:00:00,donor,1,8,8,0,0.7374285,0,0
2022-11-04 14:00:00,receiver,24,108,48,60,0.7866233487500001,0,2
2022-11-04 15:00:00,donor,2,14,14,0,0.72714365,0,0
2022-11-04 15:00:00,receiver,31,143,35,108,0.7617533848387097,0,2
2022-11-04 16:00:00,donor,4,25,25,0,0.6294697675,0,0
2022-11-04 16:00:00,receiver,33,159,84,75,0.7823211057575757,0,4
2022-11-04 17:00:00,donor,5,27,27,0,0.56853394,0,0
2022-11-04 17:00:00,receiver,32,158,77,81,0.8247179546875,0,4
2022-11-04 18:00:00,donor,4,22,22,0,0.679976275,4,0
2022-11-04 18:00:00,receiver,42,216,53,163,0.7799428540476191,42,3
2022-11-04 19:00:00,donor,2,10,10,0,0.66753722,2,0
2022-11-04 19:00:00,receiver,39,199,44,155,0.7951957723076922,39,1
2022-11-04 20:00:00,donor,3,16,16,0,0.6508256666666666,0,0
2022-11-04 20:00:00,receiver,38,199,52,147,0.7952935842105263,0,1
2022-11-04 21:00:00,donor,5,33,33,0,0.778525232,0,0
2022-11-04 21:00:00,receiver,43,225,90,135,0.802236676511628,0,4
2022-11-04 22:00:00,donor,8,49,49,0,0.71851614,0,1
2022-11-04 22:00:00,receiver,49,252,115,137,0.8195847142857142,0,4
2022-11-04 23:00:00,donor,5,29,29,0,0.715562198,0,0
2022-11-04 23:00:00,receiver,37,188,100,88,0.8650784510810812,0,4
2022-11-05 00:00:00,donor,8,48,48,0,0.70914829625,0,0
2022-11-05 00:00:00,receiver,41,207,105,102,0.8572671143902438,0,5
2022-11-05 01:00:00,donor,5,32,32,0,0.8646262200000001,0,1
2022-11-05 01:00:00,receiver,39,210,107,103,0.9235718033333333,0,4
2022-11-05 02:00:00,donor,5,31,31,0,0.8391863260000001,0,0
2022-11-05 02:00:00,receiver,39,199,87,112,0.9078254564102565,0,4
2022-11-05 03:00:00,donor,6,40,33,7,0.919538935,0,0
2022-11-05 03:00:00,receiver,43,231,99,132,0.9209866179069767,0,7
2022-11-05 04:00:00,donor,13,80,74,6,0.8269917515384615,0,0
2022-11-05 04:00:00,receiver,41,219,123,96,0.9337585526829268,0,8
2022-11-05 05:00:00,donor,14,90,85,5,0.8771913735714286,0,0
2022-11-05 05:00:00,receiver,46,252,150,102,0.9286450706521738,0,9
2022-11-05 06:00:00,donor,13,85,80,5,0.7507398384615385,0,0
2022-11-05 06:00:00,receiver,46,254,158,96,0.9033790843478261,0,8
2022-11-05 07:00:00,donor,12,80,75,5,0.7257870574999999,0,0
2022-11-05 07:00:00,receiver,46,254,155,99,0.878918724347826,0,11
2022-11-05 08:00:00,donor,3,22,16,6,0.7708073833333332,3,0
2022-11-05 08:00:00,receiver,45,249,128,121,0.8243493742222223,45,10
2022-11-05 09:00:00,donor,5,31,31,0,0.606788882,0,0
2022-11-05 09:00:00,receiver,39,206,129,77,0.8046312417948718,0,6
2022-11-05 10:00:00,donor,6,37,37,0,0.6701173233333333,0,0
2022-11-05 10:00:00,receiver,34,170,95,75,0.8259091826470588,0,4
2022-11-05 11:00:00,donor,3,15,15,0,0.6099319,0,0
2022-11-05 11:00:00,receiver,26,111,60,51,0.8233685061538462,0,3
2022-11-05 12:00:00,donor,2,11,11,0,0.663606625,0,0
