class_value,class_name,original_feature,mean_abs_shap,mean_signed_shap,median_shap,q25_shap,q75_shap,shap_rank_within_class,test_class_share,weighted_abs_shap_component,rank_correlation_value_shap,direction_association,valid_rows,factor_family,interpretation_scope
1,riesgo_vaciado,week_of_year,0.017591949552297592,-0.0030180783942341805,0.0035599994007498026,-0.006955564953386784,0.01335051842033863,20,0.11463872710390816,0.002016718703951563,-0.6106104856530216,valores_altos_reducen_contribucion,12000.0,temporal_y_calendario,asociacion_predictiva_no_causal
2,riesgo_saturacion,occupancy_ratio,2.710150957107544,-1.3260012865066528,-2.229499340057373,-3.7410082817077637,1.5634011030197144,1,0.015093483582341522,0.04090561897676988,0.9179108119067797,valores_altos_aumentan_contribucion,12000.0,estado_actual_estacion,asociacion_predictiva_no_causal
2,riesgo_saturacion,docks_available,0.25615182518959045,-0.21231167018413544,-0.03704483062028885,-0.4785544276237488,0.03042479231953621,2,0.015093483582341522,0.003866223368085899,-0.6908476850776744,valores_altos_reducen_contribucion,12000.0,estado_actual_estacion,asociacion_predictiva_no_causal
2,riesgo_saturacion,bikes_available,0.1180078312754631,-0.018383724614977837,-0.05136891454458237,-0.13228434324264526,0.09888321906328201,3,0.015093483582341522,0.0017811492639439308,0.9192812094418198,valores_altos_aumentan_contribucion,12000.0,estado_actual_estacion,asociacion_predictiva_no_causal
2,riesgo_saturacion,occupancy_ratio_mean_previous_24h,0.07862436771392822,-0.05495615676045418,-0.037775248289108276,-0.11032208800315857,-0.002437436953186989,4,0.015093483582341522,0.0011867156032621584,0.8840456215008479,valores_altos_aumentan_contribucion,10945.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
2,riesgo_saturacion,reservations_count,0.07742813229560852,-0.040949732065200806,-0.062083106487989426,-0.08490074425935745,-0.027268927544355392,5,0.015093483582341522,0.0011686602436151345,0.30408607110511093,valores_altos_aumentan_contribucion,12000.0,estado_actual_estacion,asociacion_predictiva_no_causal
2,riesgo_saturacion,light,0.0697193294763565,-0.022393859922885895,-0.03909188508987427,-0.10339295119047165,0.057540163397789,6,0.015093483582341522,0.0010523075548232463,0.40667197757956813,valores_altos_aumentan_contribucion,12000.0,otra_senal_contextual,asociacion_predictiva_no_causal
2,riesgo_saturacion,arrivals_count_lag_1h,0.06959418952465057,-0.040987323969602585,-0.06145058199763298,-0.0803280919790268,-0.01930941455066204,7,0.015093483582341522,0.0010504187570166777,0.6952075925324028,valores_altos_aumentan_contribucion,11964.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
2,riesgo_saturacion,hour,0.05194263532757759,-0.008180014789104462,-0.019923869520425797,-0.044733285903930664,0.012437727302312851,8,0.015093483582341522,0.0007839953135403451,-0.20662457673791,valores_altos_reducen_contribucion,12000.0,temporal_y_calendario,asociacion_predictiva_no_causal
2,riesgo_saturacion,net_flow_lag_24h,0.04925261437892914,-0.0213208869099617,-0.02207430638372898,-0.05486644059419632,-0.0029942505061626434,9,0.015093483582341522,0.0007433935265157649,0.8283220160268807,valores_altos_aumentan_contribucion,10945.0,dinamica_historica_reciente,asociacion_predictiva_no_causal
