class_value,class_name,original_feature,mean_abs_shap,mean_signed_shap,median_shap,q25_shap,q75_shap,shap_rank_within_class,test_class_share,weighted_abs_shap_component
1,riesgo_vaciado,net_flow_lag_24h,0.037823185324668884,-0.0166658703237772,-0.022364813834428787,-0.04353457689285278,0.005141979083418846,7,0.11463872710390816,0.00433600182063526
1,riesgo_vaciado,departures_count_lag_1h,0.023986129090189934,-0.009548043832182884,-0.012700941413640976,-0.024584680795669556,0.00932113267481327,13,0.11463872710390816,0.0027497393070493965
1,riesgo_vaciado,departures_count_lag_2h,0.002997112227603793,-0.0012421391438692808,-0.001068029785528779,-0.002870006952434778,0.0006503607146441936,44,0.11463872710390816,0.0003435851307600575
1,riesgo_vaciado,departures_count_lag_24h,0.02287600003182888,-0.01189443189650774,-0.01274125650525093,-0.02987637370824814,-0.0016060300404205918,15,0.11463872710390816,0.002622475524877825
1,riesgo_vaciado,arrivals_count_lag_1h,0.022008992731571198,-0.002867863280698657,-0.008631378412246704,-0.01762918010354042,0.009311297908425331,16,0.11463872710390816,0.0025230829115864884
1,riesgo_vaciado,arrivals_count_lag_2h,0.00241839955560863,-3.111590922344476e-05,2.7313661121297628e-05,-0.001567887025885284,0.001652340404689312,45,0.11463872710390816,0.0002772422466836305
1,riesgo_vaciado,arrivals_count_lag_24h,0.017282282933592796,0.002123163314536214,0.007055654190480709,-0.0018151841359212995,0.01520697120577097,21,0.11463872710390816,0.0019812189169566737
1,riesgo_vaciado,occupancy_ratio_mean_previous_3h,0.03291168063879013,0.016950439661741257,0.005855844356119633,-0.013150885701179504,0.05350285395979881,9,0.11463872710390816,0.0037729531752812395
1,riesgo_vaciado,occupancy_ratio_mean_previous_24h,0.15230438113212585,0.01776506006717682,-0.032489046454429626,-0.12725140154361725,0.012685490772128105,3,0.11463872710390816,0.017459980385335395
1,riesgo_vaciado,net_flow_mean_previous_3h,0.023243550211191177,-0.009165209718048573,-0.012240629643201828,-0.02815389633178711,0.011415088549256325,14,0.11463872710390816,0.0026646110095867323
1,riesgo_vaciado,net_flow_mean_previous_24h,0.008909015916287899,0.0019058698089793324,-0.0008386932895518839,-0.005999478045850992,0.003857328789308667,33,0.11463872710390816,0.0010213182443917026
1,riesgo_vaciado,departures_count_mean_previous_3h,0.00810994766652584,-0.004256037995219231,-0.003660310059785843,-0.009662797674536705,0.001261901343241334,35,0.11463872710390816,0.0009297140773698327
1,riesgo_vaciado,departures_count_mean_previous_24h,0.014282572083175182,-0.008499966003000736,-0.005780714564025402,-0.018377427011728287,0.0030649362597614527,24,0.11463872710390816,0.0016373358833850168
1,riesgo_vaciado,arrivals_count_mean_previous_3h,0.006661935243755579,0.0004316714475862682,0.00013722821313422173,-0.004441459663212299,0.006701481528580189,36,0.11463872710390816,0.0007637157763928037
1,riesgo_vaciado,arrivals_count_mean_previous_24h,0.026905985549092293,-0.015363660641014576,-0.011544674634933472,-0.025831494480371475,0.006322490517050028,11,0.11463872710390816,0.003084467934824088
1,riesgo_vaciado,station_id,0.024251185357570648,-0.009824746288359165,-0.007604391314089298,-0.01217866875231266,-0.00040067825466394424,12,0.11463872710390816,0.0027801250201528347
1,riesgo_vaciado,tipo_dia,0.005953140091150999,-0.0013522841036319733,-0.00025524082593619823,-0.004583141300827265,0.002392503898590803,38,0.11463872710390816,0.0006824604023207943
