prediction_row_index,fecha_hora_local,station_id,risk_class_1h,prediction,is_error,probability_0,probability_1,probability_2
177306,2022-11-30 10:00:00,84,0,0,False,0.9937416,0.0016001454,0.004658219
286437,2022-12-15 06:00:00,221,2,0,True,0.7915812,0.00066663127,0.20775215
324652,2022-12-15 08:00:00,29,1,1,False,0.0010785076,0.9988373,8.417279e-05
24870,2022-11-24 13:00:00,13,0,0,False,0.93593013,0.06255482,0.0015149883
261812,2022-12-10 15:00:00,190,0,0,False,0.9532319,0.04630202,0.00046614508
65664,2022-11-26 04:00:00,181,0,0,False,0.98564667,0.0007910853,0.013562209
54088,2022-11-20 12:00:00,167,0,0,False,0.9594349,0.040292587,0.00027250446
269943,2022-12-19 19:00:00,20,1,1,False,0.0031018008,0.99671304,0.00018513708
132473,2022-11-09 11:00:00,27,0,0,False,0.94978386,0.04975235,0.00046374064
65693,2022-11-27 09:00:00,181,2,0,True,0.5350983,0.0006833807,0.46421832
66989,2022-11-21 19:00:00,183,0,0,False,0.9555541,0.042966824,0.0014790633
304061,2022-12-29 12:00:00,245,1,1,False,0.0010655171,0.9988595,7.4941934e-05
331686,2022-12-08 00:00:00,38,1,1,False,0.000996861,0.998941,6.216422e-05
119100,2022-11-18 07:00:00,251,0,0,False,0.9952974,0.002790857,0.0019118147
40683,2022-11-28 00:00:00,15,0,0,False,0.99466765,0.0051043862,0.00022801477
208115,2022-12-27 07:00:00,122,0,0,False,0.9952455,0.0031048816,0.0016495896
315123,2022-12-08 20:00:00,260,0,0,False,0.9976846,0.001657148,0.00065830414
9528,2022-11-10 22:00:00,110,1,1,False,0.20280151,0.7969154,0.00028309485
280922,2022-12-26 17:00:00,213,0,0,False,0.9943066,0.0053252387,0.00036816773
3106,2022-11-11 11:00:00,102,0,0,False,0.99699116,0.0026767147,0.00033208987
100501,2022-11-17 22:00:00,226,2,0,True,0.60498846,0.0010692085,0.3939424
288326,2022-12-03 20:00:00,224,2,0,True,0.51569873,0.00097274996,0.48332855
39576,2022-11-11 16:00:00,149,1,0,True,0.80779344,0.19181083,0.00039569105
272697,2022-12-13 13:00:00,203,1,1,False,0.05911304,0.94076157,0.00012546423
134205,2022-11-22 01:00:00,28,0,0,False,0.99703443,0.0027504452,0.00021507166
180188,2022-11-01 08:00:00,89,1,1,False,0.0010700898,0.99885225,7.7657554e-05
114872,2022-11-20 21:00:00,246,1,1,False,0.061781954,0.9380407,0.00017730486
94970,2022-11-25 19:00:00,218,1,1,False,0.0033878966,0.9964945,0.00011766144
173250,2022-11-10 09:00:00,8,1,0,True,0.65114164,0.34823143,0.0006269577
206045,2022-12-31 04:00:00,12,1,1,False,0.17224275,0.8275935,0.00016373432
123920,2022-11-10 14:00:00,259,0,0,False,0.953859,0.04588255,0.00025843157
165529,2022-11-16 09:00:00,69,2,2,False,0.18914503,0.0007619861,0.81009305
107796,2022-11-23 23:00:00,236,2,2,False,0.095334694,0.00048285438,0.9041825
203033,2022-12-25 20:00:00,116,0,0,False,0.99775046,0.0015838942,0.0006656869
95880,2022-11-04 01:00:00,220,2,2,False,0.19801679,0.00062160764,0.80136156
158637,2022-11-27 03:00:00,59,1,1,False,0.25077245,0.74888575,0.00034181846
202863,2022-12-18 05:00:00,116,0,0,False,0.996136,0.0015776785,0.002286232
135116,2022-11-30 05:00:00,29,1,1,False,0.0010400611,0.99888974,7.023242e-05
267246,2022-12-27 16:00:00,197,1,0,True,0.9524432,0.04718469,0.00037208694
69605,2022-11-11 15:00:00,187,2,2,False,0.38292825,0.00078299735,0.6162888
339928,2022-12-21 21:00:00,48,2,2,False,0.11986861,0.00068155566,0.87944984
105962,2022-11-07 01:00:00,234,2,2,False,0.03326288,0.00026111578,0.966476
330664,2022-12-26 10:00:00,36,2,0,True,0.8452645,0.0015301952,0.15320529
167262,2022-11-29 00:00:00,71,1,1,False,0.15576808,0.8440353,0.0001965533
363548,2022-12-13 18:00:00,8,1,1,False,0.15815592,0.84156,0.0002840655
140061,2022-11-27 17:00:00,35,1,1,False,0.0036622111,0.99620974,0.00012807416
10758,2022-11-02 09:00:00,112,2,0,True,0.7398796,0.004117504,0.2560029
358638,2022-12-20 07:00:00,73,0,0,False,0.9117379,0.087944314,0.00031771953
108966,2022-11-13 03:00:00,238,2,2,False,0.06631723,0.00035984637,0.93332285
331184,2022-12-17 12:00:00,37,1,1,False,0.0032056584,0.99660563,0.0001887038
150206,2022-11-03 11:00:00,49,0,0,False,0.99361044,0.0042010527,0.0021884302
352097,2022-12-17 16:00:00,63,1,1,False,0.293305,0.70613354,0.00056148006
78308,2022-11-16 18:00:00,198,2,2,False,0.16723603,0.0007867204,0.83197725
60850,2022-11-04 06:00:00,176,2,2,False,0.33411014,0.00059917086,0.6652907
110292,2022-11-08 19:00:00,240,0,0,False,0.96122324,0.036473807,0.0023028734
165817,2022-11-28 09:00:00,69,2,2,False,0.41017985,0.0010820677,0.5887381
269537,2022-12-02 01:00:00,20,1,1,False,0.0010420694,0.9988952,6.271275e-05
202919,2022-12-21 02:00:00,116,0,0,False,0.99150074,0.008317146,0.00018205382
69521,2022-11-08 01:00:00,187,2,0,True,0.6815149,0.0009453945,0.31753972
318476,2022-12-29 07:00:00,264,1,1,False,0.3495763,0.6501433,0.00028039928
269746,2022-12-10 18:00:00,20,1,1,False,0.0010513476,0.9988794,6.922903e-05
34523,2022-11-09 16:00:00,142,1,1,False,0.001088428,0.99884206,6.9481335e-05
139340,2022-11-27 11:00:00,34,1,0,True,0.5896455,0.41011333,0.00024114568
27894,2022-11-01 09:00:00,134,0,0,False,0.9951944,0.0018258162,0.002979817
106863,2022-11-14 21:00:00,235,2,2,False,0.11523075,0.00046656924,0.8843026
224539,2022-12-20 16:00:00,143,1,1,False,0.0036873324,0.9960737,0.00023891852
