transformed_feature,original_feature,gain,total_gain,split_count
categorical__station_id_64,station_id,7.935391426086426,714.1852416992188,90.0
categorical__station_id_65,station_id,7.088733673095703,42.53240203857422,6.0
categorical__station_id_66,station_id,6.177993297576904,98.84789276123047,16.0
categorical__station_id_67,station_id,7.4157891273498535,192.81051635742188,26.0
categorical__station_id_69,station_id,6.831643581390381,293.76068115234375,43.0
categorical__station_id_71,station_id,6.357631206512451,50.86104965209961,8.0
categorical__station_id_72,station_id,9.311776161193848,111.74131774902344,12.0
categorical__station_id_73,station_id,7.057258605957031,28.229034423828125,4.0
categorical__station_id_74,station_id,7.4000325202941895,44.40019607543945,6.0
categorical__station_id_75,station_id,7.004156112670898,56.03324890136719,8.0
categorical__station_id_76,station_id,8.673194885253906,112.75153350830078,13.0
categorical__station_id_77,station_id,6.149265289306641,104.53750610351562,17.0
categorical__station_id_78,station_id,6.63384485244751,179.1138153076172,27.0
categorical__station_id_79,station_id,6.974615573883057,104.61923217773438,15.0
categorical__station_id_80,station_id,7.219141483306885,21.657424926757812,3.0
categorical__station_id_81,station_id,8.062277793884277,225.7437744140625,28.0
categorical__station_id_82,station_id,6.853998184204102,185.05795288085938,27.0
categorical__station_id_83,station_id,7.346911907196045,124.89749908447266,17.0
categorical__station_id_84,station_id,7.487651348114014,119.80242156982422,16.0
categorical__station_id_85,station_id,7.1511664390563965,185.93032836914062,26.0
categorical__station_id_86,station_id,7.1893696784973145,28.757478713989258,4.0
categorical__station_id_87,station_id,5.857785224914551,46.862281799316406,8.0
categorical__station_id_88,station_id,6.579345703125,6.579345703125,1.0
categorical__station_id_89,station_id,6.308534145355225,50.4682731628418,8.0
categorical__station_id_90,station_id,6.540095806121826,163.5023956298828,25.0
categorical__station_id_91,station_id,7.169144153594971,480.3326721191406,67.0
categorical__station_id_92,station_id,7.1647210121154785,236.435791015625,33.0
categorical__station_id_93,station_id,6.389070510864258,115.0032730102539,18.0
categorical__station_id_94,station_id,7.057204723358154,84.68645477294922,12.0
categorical__station_id_95,station_id,7.778788089752197,62.23030471801758,8.0
categorical__station_id_96,station_id,5.5102105140686035,16.53063201904297,3.0
categorical__station_id_97,station_id,7.615309238433838,213.22865295410156,28.0
