class_value,class_name,original_feature,rank_correlation_value_shap,direction_association,valid_rows
2,riesgo_saturacion,hour,-0.20662457673791,valores_altos_reducen_contribucion,12000
2,riesgo_saturacion,day_of_week,-0.1542944799707531,valores_altos_reducen_contribucion,12000
2,riesgo_saturacion,month,,sin_direccion_monotona_clara,12000
2,riesgo_saturacion,week_of_year,0.46842328074032147,valores_altos_aumentan_contribucion,12000
2,riesgo_saturacion,occupancy_ratio_lag_1h,0.8003740668967144,valores_altos_aumentan_contribucion,11964
2,riesgo_saturacion,occupancy_ratio_lag_2h,0.44633939417247726,valores_altos_aumentan_contribucion,11928
2,riesgo_saturacion,occupancy_ratio_lag_24h,-0.1346422142794419,sin_direccion_monotona_clara,10945
2,riesgo_saturacion,bikes_available_lag_1h,-0.2389329975084588,valores_altos_reducen_contribucion,11964
2,riesgo_saturacion,bikes_available_lag_2h,-0.40104893892504073,valores_altos_reducen_contribucion,11928
2,riesgo_saturacion,bikes_available_lag_24h,-0.5420421264013329,valores_altos_reducen_contribucion,10945
2,riesgo_saturacion,net_flow_lag_1h,0.5534797018760841,valores_altos_aumentan_contribucion,11964
2,riesgo_saturacion,net_flow_lag_2h,0.3373507995529853,valores_altos_aumentan_contribucion,11928
2,riesgo_saturacion,net_flow_lag_24h,0.8283220160268807,valores_altos_aumentan_contribucion,10945
2,riesgo_saturacion,departures_count_lag_1h,-0.32472984398910587,valores_altos_reducen_contribucion,11964
2,riesgo_saturacion,departures_count_lag_2h,-0.7164379924112311,valores_altos_reducen_contribucion,11928
2,riesgo_saturacion,departures_count_lag_24h,-0.6685663227916457,valores_altos_reducen_contribucion,10945
2,riesgo_saturacion,arrivals_count_lag_1h,0.6952075925324028,valores_altos_aumentan_contribucion,11964
2,riesgo_saturacion,arrivals_count_lag_2h,0.47233905785756614,valores_altos_aumentan_contribucion,11928
2,riesgo_saturacion,arrivals_count_lag_24h,0.594737130021108,valores_altos_aumentan_contribucion,10945
2,riesgo_saturacion,occupancy_ratio_mean_previous_3h,-0.5864139158277208,valores_altos_reducen_contribucion,11881
2,riesgo_saturacion,occupancy_ratio_mean_previous_24h,0.8840456215008479,valores_altos_aumentan_contribucion,10945
2,riesgo_saturacion,net_flow_mean_previous_3h,0.8362812291491275,valores_altos_aumentan_contribucion,11881
2,riesgo_saturacion,net_flow_mean_previous_24h,0.00391088268833338,sin_direccion_monotona_clara,10945
2,riesgo_saturacion,departures_count_mean_previous_3h,-0.7335366650447293,valores_altos_reducen_contribucion,11881
2,riesgo_saturacion,departures_count_mean_previous_24h,0.0015834419596635512,sin_direccion_monotona_clara,10945
2,riesgo_saturacion,arrivals_count_mean_previous_3h,0.560615960421304,valores_altos_aumentan_contribucion,11881
2,riesgo_saturacion,arrivals_count_mean_previous_24h,-0.18419676171862082,valores_altos_reducen_contribucion,10945
