station_id,departures,arrivals,total_activity,net_arrivals,absolute_net_flow,departure_share,station_name,address,latitude,longitude
55,2163,2085,4248,-78,78,0.509180790960452,51 - Ronda de Atocha,'Ronda de Atocha nº 2',40.4075606,-3.6935205
77,2120,2117,4237,-3,3,0.500354024073637,73 - Plaza de los Astros,'Avenida de Nazaret nº 7',40.4114475,-3.6689089
187,2017,2187,4204,170,170,0.4797811607992388,179 - Puente de Vallecas,'Avenida de la Albufera nº 6',40.3979722,-3.66925
7,2088,2095,4183,7,7,0.49916327994262494,6 - Colegio Arquitectos,'Calle Hortaleza nº 63',40.424148,-3.698447
63,2104,2071,4175,-33,33,0.5039520958083832,59 - Plaza de Juan Pujol,'Calle Espíritu Santo nº 30',40.4255495,-3.7043418
160,2094,2080,4174,-14,14,0.5016770483948251,128 - Cea Bermúdez,'Calle Cea Bermúdez nº 59',40.438994,-3.7154329
75,2057,2092,4149,35,35,0.49578211617257173,71 - Doce de Octubre,'Calle Doce de Octubre nº 28',40.4159569,-3.6738865
241,2045,2069,4114,24,24,0.49708313077297034,233 - Marqués de Corbera 12,'Avenida Marqués de Corbera nº 12',40.422962108947424,-3.6555552857442697
236,2012,2100,4112,88,88,0.4892996108949416,227 - Concordia,'Calle Arroyo del Olivar nº 6',40.39382977920336,-3.665936242935637
221,1951,2132,4083,181,181,0.47783492530002447,213 - Glorieta de Cádiz,'Calle Antonio López nº 129',40.38895,-3.70017
26,2010,2057,4067,47,47,0.494221785099582,23 - Santo Domingo,'Plaza de Santo Domingo nº 1',40.4202834,-3.7081246
136,2027,2029,4056,2,2,0.4997534516765286,164 - Paseo de las Delicias,'Paseo de las Delicias nº 92',40.3972616,-3.6945025
6,2055,1992,4047,-63,63,0.507783543365456,5 - Fuencarral,'Calle Fuencarral nº 108',40.42852,-3.70205
247,2055,1940,3995,-115,115,0.5143929912390488,239 - Francos Rodríguez,'Calle Francos Rodríguez nº 62',40.45673408797698,-3.708002730875242
74,2022,1950,3972,-72,72,0.5090634441087614,70 - Puerta del Doce de Octubre,'Avenida de Menéndez Pelayo nº 63',40.4153053,-3.6779232
182,1945,2026,3971,81,81,0.4898010576680937,174 - Madrid Río-Yeserías,'Paseo de Yeserías nº 45',40.3974444,-3.7065277
180,1965,1974,3939,9,9,0.49885757806549885,172 - Delicias,'Calle Bustamante nº 1',40.4008888,-3.6935833
17,1961,1970,3931,9,9,0.4988552531162554,16 - San Bernardo,'Calle San Bernardo nº 22',40.4230721,-3.7075065
44,1929,1988,3917,59,59,0.4924687260658667,40 - Conde de Romanones,'Plaza del Conde de Romanones nº 9',40.4138846,-3.7049407
108,1911,2006,3917,95,95,0.48787337247893797,103 - Ortega y Gasset,'Calle José Ortega y Gasset nº 4',40.43037,-3.68653
184,1952,1962,3914,10,10,0.4987225344915687,176 - Beata,'Calle Alicante nº 3',40.39425,-3.6937222
8,1940,1945,3885,5,5,0.49935649935649934,7 - Hortaleza,'Calle Hortaleza nº 75',40.4251906,-3.6977715
73,1884,1988,3872,104,104,0.4865702479338843,69 - Puerta del Ángel Caído,'Avenida de Alfonso XII nº 54',40.409808,-3.688822
12,1943,1919,3862,-24,24,0.5031071983428276,11 - San Andrés,'Calle San Andrés nº 18',40.4269483,-3.7035918
76,1888,1933,3821,45,45,0.49411148913896885,72 - Sainz de Baranda,'Calle Doctor Esquerdo nº 99',40.4157413,-3.6691838
18,1891,1923,3814,32,32,0.49580492920818037,17 - Carlos Cambronero,'Plaza de Carlos Cambronero nº 2',40.4232649,-3.7038312
14,1903,1904,3807,1,1,0.4998686629892304,13 - Conde Duque,'Calle Conde Duque nº 22',40.4273264,-3.7104417
130,1898,1901,3799,3,3,0.49960515925243487,122 - Santa Engracia 14,'Calle Santa Engracia nº 14',40.4291992,-3.6967169
270,1908,1886,3794,-22,22,0.5028993147074328,247 - Zurbano,'Calle Zurbano nº 90',40.43837,-3.69281
